n_envs,thr_mean,thr_std,ttr_mean,ttr_std
256,11773.666666666666,121.43676909770323,nan,nan
512,23544.666666666668,68.62620166930088,nan,nan
1024,45902.666666666664,230.31041854177784,nan,nan
2048,86644.0,849.2141465299943,69.66666666666667,3.2998316455372216
4096,154721.66666666666,283.7937435689675,57.0,1.632993161855452
8192,246220.33333333334,2435.9340896027725,61.666666666666664,1.247219128924647
16384,339509.6666666667,1266.4628783435471,83.33333333333333,3.39934634239519
